,Dial,"Date, GMT",Price,Dial numerals,Location,Material bezel,Movement,Ref. No.,Waterproof,Brand,Glass,Clasp,Gender,Bracelet material,Case material,Case diameter,Bracelet color,url,Movement/Caliber,Clasp material,Condition,Year,Availability
With papers,Grey,,,,"Austria, Wien",,Manual winding,5109G,,Patek Philippe,,,,,White gold,30 mm,,http://www.chrono24.com/patekphilippe/gondolo--id5653211.htm,,,1 (mint),,On request
With papers,,,,,"Indonesia, Indonesia",,Quartz,AP RO,,Audemars Piguet,,,Men's watch/Unisex,Steel,Steel,,,http://www.chrono24.com/audemarspiguet/ap-royal-oak---quartz---33mm--id5243233.htm,,,1 (mint),1988,Ready to ship in 3-5 days
With papers,,,,,"Hong Kong SAR, TST,Kowloon",,Manual winding,PAM00609,,Panerai,,,,Leather,Steel,,,http://www.chrono24.com/panerai/panerai-radiomir--id4479767.htm,,,0 (unworn),,On request
With papers,Silver,,,,"Austria, Wien",,Automatic,140.8.98S,,Jaeger-LeCoultre,,,,,Steel,38 mm,,http://www.chrono24.com/jaegerlecoultre/master-moon--id5599964.htm,,,1 (mint),,On request
With papers,Grey,,,,"Italy, BRESCIA",Ceramic,Automatic,CAZ2012.BA0876,20 ATM,TAG Heuer,Sapphire Glass,,,Steel,Steel,44 mm,Steel,http://www.chrono24.com/tagheuer/formula-1-cronografo-44mm-in-acciaio-ref-caz2012ba0876--id5700307.htm,,,0 (unworn),2017,On request
With papers,,,,,"Switzerland, Freienbach/Zürich",,Automatic,521.CM.7170.LR,,Hublot,,,Men's watch/Unisex,Crocodile skin,Ceramic,45 mm,,http://www.chrono24.com/hublot/classic-fusion-ceramic-blue--id5707993.htm,,,0 (unworn),2017,On request
With papers,,,"$19,000 [Negotiable]",,"Hong Kong SAR, 852",,Automatic,341.PR.2010.LR.1913,,Hublot,,,Ladies' watch,Rubber,Pink gold,,,http://www.chrono24.com/hublot/big-bang-gold-tutti-frutti-red--id5025188.htm,,,0 (unworn),,Available now
With box,Black,,"$10,950",,"United States, New York, Airmont",,Automatic,,5 ATM,Hublot,,Fold clasp,Men's watch/Unisex,Calfskin,Ceramic,,Black,http://www.chrono24.com/hublot/classic-fusion-shiny-42mm-542cs1210vr1204--id4997026.htm,,,0 (unworn),,On request
With box,Transparent,,"$78,624",,"United States, New York, Brooklyn NY",,Manual winding,505.OX.0180.LR,3 ATM,Hublot,Sapphire Glass,Fold clasp,Men's watch/Unisex,Leather,,45 mm,Black,http://www.chrono24.com/hublot/classic-fusion-tourbillon--id5346106.htm,HUB6010.H1.8,,0 (unworn),,On request
With box,Black,,"$32,472",,"United States, New York, Brooklyn NY",,Automatic,516.OX.1480.LR.1704,5 ATM,Hublot,Sapphire Glass,,Men's watch/Unisex,Rubber,Pink gold,45 mm,,http://www.chrono24.com/hublot/classic-fusion--id4366138.htm,HUB1601,,0 (unworn),,On request
With box,,,"$76,450",,"United States, New York, Brooklyn NY",,Manual winding,505.NX.0170.LR.1904,3 ATM,Hublot,Sapphire Glass,,Men's watch/Unisex,Crocodile skin,Titanium,45 mm,Black,http://www.chrono24.com/hublot/classic-fusion-tourbillon--id4239273.htm,MHUB6010.H1.8,,0 (unworn),,On request
With box,,,"$65,952",,"United States, New York, Brooklyn NY",,Automatic,411.OX.1180.RX.0904,,Hublot,Sapphire Glass,Fold clasp,Men's watch/Unisex,Rubber,Pink gold,45 mm,Black,http://www.chrono24.com/hublot/big-bang-unico--id4239225.htm,,,0 (unworn),,On request
With box,Silver,,"$27,216",,"United States, New York, Brooklyn NY",,Automatic,511.OX.2611.OX,5 ATM,Hublot,Sapphire Glass,Fold clasp,Men's watch/Unisex,Pink Gold,Pink gold,45 mm,Gold,http://www.chrono24.com/hublot/classic-fusion--id4366152.htm,HUB1112,,0 (unworn),,On request
With box,Black,,"$9,432",,"United States, New York, Brooklyn NY",,Automatic,521.NX.1170.NX,5 ATM,Hublot,Sapphire Glass,Fold clasp,Men's watch/Unisex,Titanium,Titanium,45 mm,,http://www.chrono24.com/hublot/classic-fusion--id4871400.htm,HUB1143,,0 (unworn),,On request
,Dial,"Date, GMT",Price,Dial numerals,Location,Material bezel,Movement,Ref. No.,Waterproof,Brand,Glass,Clasp,Gender,Bracelet material,Case material,Case diameter,Bracelet color,url,Movement/Caliber,Clasp material,Condition,Year,Availability
With papers,Black,"Date, GMT","$6,295",No numerals,"United States, California, Newport Beach",Steel,Automatic,216570,10 ATM,Rolex,Sapphire Glass,Fold clasp,Men's watch/Unisex,Steel,Steel,42 mm,Steel,http://www.chrono24.com/rolex/explorer-ii--steel-black-dial-bezel-42mm-216570-new--id5450808.htm,3187,Steel,0 (unworn),2016,Available now
With papers,,,"$21,500",,"United States, New York, New York",,Automatic,116718,,Rolex,,Double-fold clasp,Men's watch/Unisex,Yellow Gold,Yellow gold,,Yellow,http://www.chrono24.com/rolex/rolex-watches---gmt-master-ii-yellow-gold--id3957919.htm,,Yellow gold,1 (mint),2010 2011 2012 2013 2014,Available now
