,Dial,"Date, GMT",Price,Dial numerals,Location,Material bezel,Movement,Ref. No.,Waterproof,Brand,Glass,Clasp,Gender,Bracelet material,Case material,Case diameter,Bracelet color,url,Movement/Caliber,Clasp material,Condition,Year,Availability
With papers,Black,,,No numerals,"Spain, Barcelona",,Automatic,CV2111-0,3 ATM,TAG Heuer,Plexiglass,Fold clasp,Men's watch/Unisex,Steel,Steel,40 mm,Steel,http://www.chrono24.com/tagheuer/carrera-automatic-steel-cv2111-0--id5612323.htm,,Steel,1 (mint),2002,Available now
With papers,,,,,"Italy, Bologna",,Automatic,CW2113,,TAG Heuer,Plexiglass,,Men's watch/Unisex,Leather,Steel,40 mm,,http://www.chrono24.com/tagheuer/monaco-steeve-mcqueen--id5663706.htm,,,1 (mint),,Available now
With papers,,,,,"France, PARIS",,Automatic,,,TAG Heuer,,"Fold clasp, hidden",Men's watch/Unisex,Steel,Steel,,Steel,http://www.chrono24.com/tagheuer/grand-carrera-calibre-6-rs--id3240091.htm,,,1 (mint),2009,Available now
With papers,,,,,"Netherlands, Goes",,Automatic,WAY211B.FC6363,,TAG Heuer,Sapphire Glass,Fold clasp,Men's watch/Unisex,Textile,Steel,41 mm,Black,http://www.chrono24.com/tagheuer/aquaracer-calibre-5-automatic-41mm--id4452588.htm,,,0 (unworn),,Available now
With papers,,,,,"Italy, Sesto Calende",,Automatic,CV2010,,TAG Heuer,,Double-fold clasp,Men's watch/Unisex,Steel,Steel,,Steel,http://www.chrono24.com/tagheuer/carrera--id5030981.htm,,Steel,1 (mint),2013,Available now
With papers,Grey,,,Arabic numerals,"Italy, Cascina Pisa",Steel,Automatic,CAR2B10.BA0799,10 ATM,TAG Heuer,,Fold clasp,,Steel,Steel,"43,00 mm",Steel,http://www.chrono24.com/tagheuer/carrera-calibre-36-flyback-chronograph-steel-mens-watch--id2641014.htm,TAG Heuer Calibre 36,Steel,0 (unworn),,Available now
,Silver,,,,"Portugal, Lisboa",,Automatic,WG 5118,10 ATM,TAG Heuer,Sapphire Glass,Double-fold clasp,Men's watch/Unisex,Steel,Steel,37 mm,Steel,http://www.chrono24.com/tagheuer/coulthard-limited-edition-169500-refwg5118--id5033645.htm,,Steel,0 (unworn),2003,Available now
With box,Silver,,,,"United Kingdom, Blackburn",Aluminum,Quartz,CAF101B.BA0821,30 ATM,TAG Heuer,,Fold clasp,Men's watch/Unisex,Steel,Steel,43 mm,Steel,http://www.chrono24.com/tagheuer/aquaracer-grande-date-quartz--id5659614.htm,,,1 (mint),,Available now
,,,,,"Hungary, Szeged",,Quartz,CAZ1014.BA0842,20 ATM,TAG Heuer,Sapphire Glass,,Men's watch/Unisex,Steel,Steel,43 mm,Silver,http://www.chrono24.com/tagheuer/formula-1-ferfi-karora-caz1014ba0842--id5190898.htm,,,,,Available now
With papers,Grey,"Date, GMT",price on request,,"Italy, VICENZA - VI",Steel,Automatic,WAR5012.BA0723 - TAGHEURER Cal.8 GMT and Grande Date,10 ATM,TAG Heuer,Sapphire Glass,,,Steel,Steel,41 mm,Steel,http://www.chrono24.com/tagheuer/calibre-8-big-date-gmt--41-mm---anthracite-dial-steel-watch--id3177221.htm,8,,0 (unworn),,Available now
With papers,Pink,,price on request,Roman numerals,"Italy, VICENZA",Steel,Quartz,"WAT1313.BA0956 - TAGHEUER DIAL PINK LACQUERED,DIAMONDS",10 ATM,TAG Heuer,Sapphire Glass,,,Steel,Steel,"34,5 mm",Steel,http://www.chrono24.com/tagheuer/link-lady-quartz-luxury-watch-pink--id3587923.htm,,Steel,0 (unworn),,Available now
,White,,,No numerals,"Spain, Marbella",,Quartz,,,TAG Heuer,Sapphire Glass,,Ladies' watch,Steel,Steel,27 mm,Steel,http://www.chrono24.com/tagheuer/link--id4960198.htm,,Steel,1 (mint),,Available now
With papers,Black,,,,"Spain, BARCELONA",Steel,Automatic,CV2010,,TAG Heuer,Sapphire Glass,,Men's watch/Unisex,Steel,Steel,41 mm,,http://www.chrono24.com/tagheuer/carrera-chrono-cv-2010-brad-pitt--id5642472.htm,,,1 (mint),2005,Available now
With papers,Mother of pearl,,,No numerals,Germany,Gold/Steel,Quartz,,10 ATM,TAG Heuer,Sapphire Glass,Fold clasp,Ladies' watch,Gold/Steel,Gold/Steel,32 mm mm,Gold/Steel,http://www.chrono24.com/tagheuer/carrera-lady-diamond-goldstahl-32-mm-war1352bd0779--id4585834.htm,,Steel,0 (unworn),2016,Available now
With papers,Grey,,,No numerals,"Italy, Verona - CALDIERO",Pink gold,Automatic,WAR215D.BD0784,10 ATM,TAG Heuer,Sapphire Glass,Fold clasp,Men's watch/Unisex,Gold/Steel,Gold/Steel,39 mm,Gold/Steel,http://www.chrono24.com/tagheuer/carrera-calibro-5--id2751473.htm,,Gold/Steel,0 (unworn),2017,Available now
