,Case diameter,Dial,Code,Ref. No.,"Date, GMT",Gender,Brand,Dial numerals,Availability,Clasp,"Chronometer, Helium Valve",Case material,Location,url,Price,Condition,Movement
,45 mm,,511.OX.1181.LR,511.OX.1181.LR,,Men's watch/Unisex,Hublot,,On request,Fold clasp,,Pink gold,"United States, Florida, Miami",http://www.chrono24.com/hublot/classic-fusion-45mm-automatic-18k-rose-gold-mens-watch-ref-511ox1181lr--id5269470.htm,"$16,450",0 (unworn),
,41 mm,,346.PX.0880.VR.1204,346.PX.0880.VR.1204,,Ladies' watch,Hublot,,On request,Fold clasp,,Pink gold,"United States, Florida, Miami",http://www.chrono24.com/hublot/big-bang-caviar-41mm-automatic-18k-rose-gold-mens-watch-ref-346px0880vr1204--id5268764.htm,"$25,347",0 (unworn),
,41 mm,White,342.SE.230.RW,342.SE.230.RW,,Ladies' watch,Hublot,,On request,Fold clasp,,Steel,"United States, Florida, Miami",http://www.chrono24.com/hublot/big-bang--41mm-automatic-stainless-steel-mens-watch-ref-342se230rw--id5268463.htm,"$8,950",0 (unworn),
With box,48 mm,Transparent,141893887941,701.NE.0127.GR,,Men's watch/Unisex,Hublot,,On request,,,Titanium,"United States, Florida, Miami",http://www.chrono24.com/hublot/big-bang-king-power-48mm-mens-ref-701ne0127gr--id4654643.htm,"$16,300",0 (unworn),Automatic
,42 mm,,541.OX.2611.OX,541.OX.2611.OX,,Men's watch/Unisex,Hublot,,On request,,,Pink gold,"United States, Florida, Miami",http://www.chrono24.com/hublot/classic-fusion-42mm-automatic-18k-rose-gold-mens-watch-ref-541ox2611ox--id5269608.htm,"$29,820",0 (unworn),
,45 mm,,401.FX.1123.VR,401.FX.1123.VR,,Men's watch/Unisex,Hublot,,On request,,,Ceramic,"United States, Florida, Miami",http://www.chrono24.com/hublot/big-bang-unico-ferrari-45mm-automatic-ceramic-mens-watch-ref-401fx1123vr--id5269213.htm,"$18,490",0 (unworn),
,33 mm,Purple,13220,1405.3,,,Hublot,,On request,Fold clasp,,Yellow gold,"United States, New York, New York",http://www.chrono24.com/hublot/mdm-33mm-metallic-purple-dial---yellow-gold-on-strap--id5402930.htm,price on request,,Quartz
,45 mm,,403.OM.0123.RX,403.OM.0123.RX,,Men's watch/Unisex,Hublot,,On request,,,,"United States, Florida, Miami",http://www.chrono24.com/hublot/big-bang-alarm-repeater-45mm-automatic-18k-king-gold-mens-watch-ref-403om0123rx--id5268812.htm,"$48,400",0 (unworn),
New,,,381737300754,,,,Hublot,,On request,,,,"United States, Florida, Miami",http://www.chrono24.com/hublot/big-bang-44mm-automatic-date-mens-watch-301ci1770rx--id5697502.htm,"$11,300",0 (unworn),
,45 mm,,511.NX.1171.LR.1104,511.NX.1171.LR.1104,,Men's watch/Unisex,Hublot,,On request,,,Titanium,"United States, Florida, Miami",http://www.chrono24.com/hublot/classic-fusion-45mm-automatic-titanium-mens-watch-ref-511nx1171lr1104--id5269379.htm,"$9,800",0 (unworn),
