,Clasp material,Ref. No.,Bracelet color,url,Gender,Brand,Bracelet material,Availability,Clasp,Case material,Location,Year,Price,Condition,Movement
With papers,Steel,WAY211A.BA0928,,http://www.chrono24.com/tagheuer/aquaracer-calibre-5--id3917215.htm,Men's watch/Unisex,TAG Heuer,Steel,Ready to ship in 6-10 days,Fold clasp,Steel,"Spain, Pamplona",,,0 (unworn),Automatic
With papers,Steel,CAY211B.BA0927,,http://www.chrono24.com/tagheuer/aquaracer-chronograph--id3931196.htm,Men's watch/Unisex,TAG Heuer,Steel,Ready to ship in 6-10 days,Fold clasp,Steel,"Spain, Pamplona",,,0 (unworn),Automatic
With papers,Steel,WAR201A.FC6266,Black,http://www.chrono24.com/tagheuer/carrera-calibre-5-day-date--id5633366.htm,Men's watch/Unisex,TAG Heuer,Crocodile skin,Ready to ship in 6-10 days,Fold clasp,Steel,"Spain, Pamplona",,,0 (unworn),Automatic
With papers,Gold/Steel,WAY211B.FC6363,Black,http://www.chrono24.com/tagheuer/aquaracer-calibre-5-300-m--id5616349.htm,Men's watch/Unisex,TAG Heuer,Textile,Ready to ship in 6-10 days,Fold clasp,Steel,"Spain, Pamplona",,,0 (unworn),Automatic
With papers,Steel,CAY2112.BA0927,Steel,http://www.chrono24.com/tagheuer/aquaracer-300m-calibre-16-ref-cay2112ba0927--id4622175.htm,Men's watch/Unisex,TAG Heuer,Steel,Ready to ship in 6-10 days,Fold clasp,Steel,"Germany, Mülheim an der Ruhr",2017,,0 (unworn),Automatic
With papers,Steel,WAR201B.BA0723,,http://www.chrono24.com/tagheuer/carrera-calibre-5-day-date--id2787014.htm,Men's watch/Unisex,TAG Heuer,Steel,Ready to ship in 6-10 days,Fold clasp,Steel,"Spain, Pamplona",,,0 (unworn),Automatic
With papers,Steel,CV201AJ.BA0727,Steel,http://www.chrono24.com/tagheuer/carrera-calibre-16-chronograph--id5633727.htm,Men's watch/Unisex,TAG Heuer,Steel,Ready to ship in 6-10 days,Fold clasp,Steel,"Spain, Pamplona",,,0 (unworn),Automatic
With papers,Steel,WAR201E.FC6292,Blue,http://www.chrono24.com/tagheuer/carrera-calibre-5-day-date-ref-war201efc6292--id4618559.htm,Men's watch/Unisex,TAG Heuer,Crocodile skin,Ready to ship in 6-10 days,Fold clasp,Steel,"Germany, Mülheim an der Ruhr",2017,,0 (unworn),Automatic
With papers,Steel,WAY1112.BA0928,,http://www.chrono24.com/tagheuer/aquaracer-300m--id3539152.htm,Men's watch/Unisex,TAG Heuer,Steel,Ready to ship in 6-10 days,Fold clasp,Steel,"Spain, Pamplona",,,0 (unworn),Quartz
With papers,Steel,WAY211B.FC6363,Black,http://www.chrono24.com/tagheuer/aquaracer-calibre-5-automatik-ref-way211bfc6363--id4622233.htm,Men's watch/Unisex,TAG Heuer,Textile,Ready to ship in 6-10 days,Fold clasp,Steel,"Germany, Mülheim an der Ruhr",2017,,0 (unworn),Automatic
